trainer_id,total_rides,horse_age,runners,1st,2nd,3rd,4th,a/e,win_%,1_pl
trn_170127,0,5,26,2,3,0,4,1.19,0.08,-8.25
trn_170127,0,12,16,2,1,2,3,1.76,0.12,31.0
trn_170127,0,13,12,1,0,0,2,1.56,0.08,-7.0
trn_170127,0,14,5,0,0,0,1,0.0,0.0,-5.0
trn_170127,0,4,5,0,1,0,0,0.0,0.0,-5.0
trn_128637,0,3,522,32,26,32,46,0.79,0.06,-195.75
trn_128637,0,4,413,27,25,27,35,0.74,0.07,-129.04
trn_128637,0,7,291,26,31,32,39,0.82,0.09,-90.0
trn_128637,0,5,278,17,24,20,36,0.66,0.06,-135.25
trn_128637,0,6,247,18,18,20,16,0.72,0.07,-113.0
trn_128637,0,2,225,9,15,19,15,0.59,0.04,-132.42
trn_128637,0,8,188,15,16,24,14,0.75,0.08,-80.26
trn_128637,0,9,90,5,8,5,5,0.77,0.06,-34.5
trn_128637,0,10,81,7,5,10,10,0.97,0.09,-25.75
trn_128637,0,11,9,0,1,1,1,0.0,0.0,-9.0
trn_128637,0,12,4,1,0,0,1,5.08,0.25,11.0
trn_346887,0,3,479,36,44,56,45,0.74,0.08,-195.76
trn_346887,0,4,344,29,42,31,31,0.64,0.08,-184.2
trn_346887,0,5,280,34,38,35,33,0.79,0.12,-85.38
trn_346887,0,2,239,18,7,26,19,1.06,0.08,-35.35
trn_346887,0,6,225,18,19,34,28,0.6,0.08,-71.56
trn_346887,0,7,120,16,14,15,11,0.94,0.13,-0.05
trn_346887,0,8,70,9,10,6,6,1.11,0.13,15.0
trn_346887,0,9,43,5,3,2,8,1.25,0.12,10.5
trn_346887,0,10,10,2,2,0,1,1.98,0.2,6.5
trn_346887,0,11,8,1,2,3,0,0.99,0.12,-1.0
trn_346887,0,12,3,0,0,1,0,0.0,0.0,-3.0
trn_136413,0,7,93,5,14,10,7,0.51,0.05,-52.62
trn_136413,0,6,93,5,10,3,9,0.68,0.05,-44.17
trn_136413,0,8,92,4,4,10,10,0.53,0.04,-56.0
trn_136413,0,9,74,11,8,5,5,1.26,0.15,9.5
trn_136413,0,5,72,5,4,7,10,0.87,0.07,-44.67
trn_136413,0,10,61,6,4,8,8,0.95,0.1,-3.42
trn_136413,0,11,39,6,4,1,5,1.9,0.15,22.95
trn_136413,0,12,18,1,1,2,4,0.68,0.06,-6.0
trn_136413,0,4,16,0,0,0,1,0.0,0.0,-16.0
trn_136413,0,13,12,0,0,1,1,0.0,0.0,-12.0
trn_136413,0,3,1,1,0,0,0,4.0,1.0,3.0
trn_143532,0,4,1168,98,84,102,101,0.84,0.08,-328.3
trn_143532,0,5,1157,132,120,107,112,0.98,0.11,8.73
trn_143532,0,3,1137,79,118,132,133,0.71,0.07,-516.62
trn_143532,0,6,1009,97,106,109,92,0.83,0.1,-304.56
trn_143532,0,2,824,36,32,58,92,0.74,0.04,-425.15
trn_143532,0,7,815,82,75,82,74,0.98,0.1,-63.2
trn_143532,0,8,568,38,47,54,62,0.71,0.07,-180.55
trn_143532,0,9,249,26,24,27,22,1.04,0.1,-27.12
trn_143532,0,10,127,13,10,8,12,1.09,0.1,11.0
trn_143532,0,11,51,6,6,3,8,1.21,0.12,1.75
trn_143532,0,12,25,2,3,1,3,0.93,0.08,5.0
trn_143532,0,13,9,0,0,3,2,0.0,0.0,-9.0
trn_358677,0,8,61,8,9,4,8,0.94,0.13,-11.72
trn_358677,0,7,57,6,13,5,9,0.73,0.11,5.0
trn_358677,0,6,41,2,3,5,4,0.47,0.05,-27.5
trn_358677,0,5,37,3,2,2,2,1.0,0.08,-5.0
trn_358677,0,9,27,3,0,0,4,1.27,0.11,-2.0
trn_358677,0,14,5,1,0,1,1,5.21,0.2,10.0
trn_358677,0,4,5,0,0,1,0,0.0,0.0,-5.0
trn_358677,0,11,4,0,0,0,1,0.0,0.0,-4.0
trn_358677,0,3,3,1,0,1,1,2.68,0.33,14.0
trn_358677,0,10,3,0,0,0,2,0.0,0.0,-3.0
trn_358677,0,12,1,0,0,0,0,0.0,0.0,-1.0
trn_312453,0,4,315,26,22,35,30,0.83,0.08,-110.43
trn_312453,0,5,270,29,19,22,27,1.12,0.11,115.92
trn_312453,0,6,249,18,19,26,21,0.81,0.07,-105.17
trn_312453,0,3,244,9,12,17,20,0.68,0.04,-89.75
trn_312453,0,7,130,4,8,11,7,0.37,0.03,-84.5
trn_312453,0,8,61,4,5,5,4,0.88,0.07,-25.5
trn_312453,0,9,61,2,2,6,6,0.56,0.03,-31.0
trn_312453,0,2,39,1,0,3,3,0.88,0.03,-5.0
trn_312453,0,10,15,0,2,3,1,0.0,0.0,-15.0
trn_312453,0,11,14,2,1,2,1,1.9,0.14,-4.17
trn_312453,0,12,4,0,0,0,0,0.0,0.0,-4.0
trn_332928,0,3,295,35,40,33,36,0.82,0.12,-76.74
trn_332928,0,4,240,36,22,32,29,0.99,0.15,-24.25
trn_332928,0,5,116,18,25,12,8,0.86,0.16,-46.02
