owner_id,owner
own_1265692,Daffodil Racing Cleni
own_722212,I F Gosden
own_1303304,The Triple Lock Partnership
own_45116,Michael Buckley
own_390620,Mr And Mrs J D Cotton
own_1357708,Baxter Barrett Okeeffe
own_905560,West Buckland Bloodstock Ltd
own_63276,E A Brook
own_810520,H Burns
own_660636,Garry Wilson
own_799920,G Mcgrath
own_1360816,Duncan Angove
own_1254708,The Good Stock Syndicate
own_1264668,A Frost And E Galvin
own_108432,G F White
own_1240896,Perryman Coltherd
own_1343228,Jons Birthday
own_1109240,The Shinton Family 1
own_1228056,Ashgill Stud 2
own_1235932,Alan Baxter Jennie Candlish
own_1149320,Mrs C Wymer Pjs Russell
own_1168148,Susan And John Waterworth
own_144064,Mrs J M Russell
own_585240,N Byrne
own_1360904,Elizabeth And Oliver Troup
own_1334520,Paul Lyons T C Quinn
own_1405644,Bell Lyons Hill
own_1288004,Syders Burkes
own_445664,Graham And Alison Jelley
own_384556,J Carthy
own_1023924,Graham Wilson
own_890740,Somerset Racing
own_1315136,Martians Racing
own_717288,The Real Partnership
own_494948,D M Proos
own_406212,Walters Plant Hire Ltd
own_1342120,Mrs Jo Tracey K Alexander Ps Bryceland
own_1344440,Owners Group 118
own_1263128,A C Okeeffe
own_1414296,Dermot Hanafin And Stan Kaznowski
own_1228992,Molly Paul Willis
own_1247792,Countrywide Park Homes Ltd
own_1415296,G Mason J Hales L Hales P Hogarth Sir A Ferguson
own_1386324,Larry Melrose
own_1045032,Russell Lane
own_1410244,Tony Livingston Graeme Mcgregor
own_1169108,Mrs Carol Shaw
own_1103752,Monabeg Investments Limited
own_1095728,Ktda Racing
own_895472,Colm Donlon
own_1408128,Michael A Oriordan Seamus Hennessy
own_1416692,Barnane Stud Partner Temple Bloodstock
own_642508,Barry Maloney
own_1333612,John Murphy W F Perrattjackton Racing
own_1050628,Flying High Syndicate
own_1210316,Dods Racing Club
own_8904,Paddy Barrett
own_1272392,Samantha Ullyott Tony Coyle
own_516548,Kevin Kirkup
own_739692,Jackton Racing Club
own_1333492,John Clayton
own_1020844,The Vintage Flyers
own_501268,Morecool Racing
own_1205852,Made Profiles Ltd Partner
own_1394576,Group Equine Racing Ix
own_1368228,Longdogs Brussel Sprouts
own_1335640,D Jenkins J Glover R Odonnell J Short
own_916380,Oakfield Racing
own_1405276,S Pedersen Mrs L Wymark A Brown
own_1088500,John And Tony Jarvis And Partner
own_692688,Derbyshire Racing Iv
own_1319896,Hasmonean Racing Partner
own_472604,Wedgewood Estates
own_1414412,Pimlico Racing Sangwin Holdings Ltd
own_1417524,Dc Racing   Kamikaze
own_184724,R A Fahey
own_449920,Mrs Angie Bailey
own_1284248,S Radymski
own_1382916,Mps Racing Edgworth Cc
own_1390888,Bishop Kirkland Mitchell And Dunlop
own_1177056,Khk Racing Ltd
own_1340980,Brightwalton Bloodstock
own_718328,R J H Geffen
own_1251548,Ursa Major Racing Ltd Partner 1
own_590548,Derbyshire Racing
own_148456,The Hon Miss Heather Galbraith
own_1270348,Tony Bev Culhane
own_864792,John R Saville
own_921388,Antony Brittain
own_1392164,Wedo Business
own_1338848,Made Profiles Ltd
own_1300248,John Wainwright Racing Club
own_1345404,S Mcmillan S Boyle A D Brown
own_1333280,S Herrington Mrs H Lloyd Herrington
own_737856,Foulrice Park Racing Limited
own_1181168,Miss Sally M Howes
own_379172,J S Wainwright
own_1385228,Three Farmers
own_1145688,R Bellamy
own_1422644,Nathan Mill Gary Rutherford
own_1239572,Harriet Brown Racing Club
own_866276,Tim Liz Heal
own_1314212,Willem Van Der Horst
own_1133616,David Pipe Racing Club
