sire_id,sire
sir_3689966,Robin Des Champs
sir_3708180,Tobougg
sir_4491872,Multiplex
sir_3234945,Oscar
sir_614005,Midnight Legend
sir_3987102,Soldier Hollow
sir_5710586,Triple Threat
sir_5509343,Waldpark
sir_5859679,Berkshire
sir_5198053,Workforce
sir_5958869,Decorated Knight
sir_5272953,Elzaam
sir_3897691,Phoenix Reach
sir_4761463,Rajj
sir_4514419,Kendargent
sir_5302829,Roderic O'Connor
sir_6167980,Buratino
sir_8024303,City Light
sir_5454624,Power
sir_5440085,Sepoy
sir_9601879,Rajasinghe
sir_18120207,Far Above
sir_5455471,Helmet
sir_5542019,Union Rags
sir_5215966,Dunaden
sir_4799018,Conduit
sir_4607638,Saddex
sir_3366048,Kalanisi
sir_5010166,Buck's Boum
sir_5172580,Joshua Tree
sir_3957527,Norse Dancer
sir_5647166,Dawn Approach
sir_4127473,Alqaahir
sir_5389447,Pour Moi
sir_5903800,Ectot
sir_5850733,Lucky Speed
sir_5897101,Snow Sky
sir_3659915,Nayef
sir_3384073,Robin Des Pres
sir_3153248,Cape Cross
sir_5206740,Arctic Cosmos
sir_4793005,Thewayyouare
sir_5492277,Saddler's Rock
sir_4933313,Dink
sir_5746923,Intello
sir_3897313,Arakan
sir_4953634,Sayif
sir_6020651,Manatee
sir_4476528,Aussie Rules
sir_4472293,Arcadio
sir_4840283,Watar
sir_6276900,Doha Dream
sir_6199858,Hawkbill
sir_5335106,Farhh
sir_6028897,Clovis Du Berlais
sir_3779580,Golden Lariat
sir_5575990,Sun Central
sir_4490136,English Channel
sir_12241537,Circus Maximus
sir_5483345,Lethal Force
sir_5800319,Fountain Of Youth
sir_3747156,Orientor
sir_6093178,El Kabeir
sir_5726210,Music Master
sir_10669162,River Boyne
sir_5532317,Noble Mission
sir_5472908,Requinto
sir_13930980,Kessaar
sir_6065969,Johnny Barnes
sir_10265619,Michigan
sir_5532394,Wrote
sir_4245192,Proclamation
sir_4495729,Konig Turf
sir_4465013,Sir Percy
sir_723912,Royal Applause
sir_5745824,Martinborough
sir_5245191,Excelebration
sir_4124274,Sintarajan
sir_3270568,Trans Island
sir_5163970,Indomito
sir_4598440,Creachadoir
sir_5409138,Gatewood
sir_4486762,Racinger
sir_4519235,Lord Of England
sir_7927619,Waldgeist
sir_4995844,Fuisse
sir_5895316,Galiway
sir_10272927,Gustav Klimt
sir_633759,Poliglote
sir_3223696,Fragrant Mix
sir_5957532,Highland Reel
sir_5899537,Charm Spirit
sir_18518619,Golden Horde
sir_6125385,Mekhtaal
sir_5819310,Coulsty
sir_11091493,Eqtidaar
sir_4957421,Vocalised
sir_4175850,Fastnet Rock
sir_5093571,Quality Road
sir_5425399,Swiss Spirit
sir_5753181,Morpheus
sir_3527125,Dansili
sir_16106181,King Of Change
sir_6233822,Ajaya
sir_5342575,Twirling Candy
sir_6208167,Gutaifan
sir_4869837,Rip Van Winkle
sir_4344697,Dragon Dancer
sir_3760694,Asian Heights
sir_4595990,Vendangeur
sir_5171712,Society Rock
sir_5534235,El Salvador
sir_5897514,Master's Spirit
sir_5931107,Free Port Lux
sir_5771003,Vif Monsieur
sir_5397294,Hunter's Light
sir_5538568,Creative Cause
sir_12217870,Without Parole
sir_18092508,Arizona
sir_10051440,Romanised
sir_5177396,Temple City
sir_3930213,Sunday Break
sir_4079796,Voix Du Nord
sir_4009047,Gold Well
sir_6268388,Attendu
sir_3940377,Monsieur Bond
sir_15245916,Sottsass
sir_4832611,Dunkerque
sir_3133732,Compton Place
sir_4618404,Dutch Art
sir_7322763,Tornibush
sir_5422165,Slade Power
sir_5725916,Anodin
sir_12329569,City Of Light
sir_6015954,Mattmu
sir_5892096,Hot Streak
sir_4749276,Mr Medici
sir_753900,Pivotal
sir_9942352,Seahenge
sir_4501959,First Samurai
sir_5968361,Markaz
sir_6200985,Counterattack
sir_6277544,Nyquist
sir_6076147,American Pharoah
sir_4846485,Equiano
sir_5968298,Estidhkaar
sir_727524,Tagula
sir_4544750,War Front
sir_4619986,Haatef
sir_5248348,Zebedee
sir_10320268,James Garfield
sir_6220914,Shalaa
sir_3981138,Fairly Ransom
sir_5108635,Red Jazz
sir_3952928,Clodovil
sir_5197052,Nom De D'La
sir_5829649,Sidestep
sir_4822237,Crossharbour
sir_5490415,French Fifteen
sir_3548622,Millenary
sir_4030824,My Risk
sir_5956328,Dariyan
sir_13202917,Goliath Du Berlais
sir_3502282,Beat All
sir_6234816,Cloth Of Stars
sir_3410925,Bienamado
sir_5141556,Rajsaman
sir_3779741,Le Fou
sir_11245626,Seabhac
sir_3631110,More Than Ready
sir_6000799,Goken
sir_6212724,Birchwood
sir_8483132,Le Brivido
sir_4759531,Captain Gerrard
sir_5452111,Burwaaz
sir_5818484,War Command
sir_5796266,Master Carpenter
sir_5006204,Munnings
sir_5126478,Canford Cliffs
sir_4928105,Blek
sir_7175203,Capri
sir_4589844,Rail Link
sir_3659369,Curtain Time
sir_6104420,Petillo
sir_5925304,Cannock Chase
sir_11429670,Flag Of Honour
sir_4855088,Into Mischief
sir_5783848,Karakontie
sir_5600931,Hillstar
sir_4804128,High Rock
sir_4850699,Cima De Triomphe
sir_3888920,Fair Mix
sir_9648492,Tunis
sir_3843581,Bollin Eric
sir_5850271,Bande
sir_5384960,Gemix
sir_7603442,Practical Joke
sir_4985372,Delegator
sir_5493852,Harbour Watch
sir_4009068,Haafhd
sir_5050801,Native Ruler
sir_6134142,Disco Partner
sir_13988366,Legends Of War
sir_6259309,Marcel
sir_5636379,Pedro The Great
sir_3748654,Anabaa Blue
sir_6265854,Idaho
sir_3635513,Kutub
sir_3958990,Big Bad Bob
sir_3779559,Gamut
sir_5003733,Recharge
sir_3501729,Kingsalsa
sir_4831939,Gio Ponti
sir_8630146,Mastery
sir_5633796,Lucayan
sir_5957245,Magneticjim
sir_3861886,Jelani
sir_6044185,My Dream Boat
sir_5305055,Scalo
sir_5834787,Mondialiste
sir_5856886,Flintshire
sir_5287968,Silver Pond
sir_5601218,Toronado
sir_4598426,Barastraight
sir_4997909,Urban Poet
sir_3584833,Silvano
sir_4664667,Eastern Anthem
sir_10092838,Yafta
sir_4214315,Shamardal
sir_4648868,Mores Wells
sir_5490562,Red Dubawi
sir_6026909,Ivawood
sir_3894415,Alkaased
sir_3548237,Dapper
sir_4072320,Rule Of Law
sir_4222589,Fracas
sir_5561437,Pastorius
sir_5532338,Shantaram
sir_4817260,Full Of Gold
sir_5934992,Forever Now
sir_5552386,Tai Chi
sir_4905250,Vision D'Etat
sir_5863004,Fly With Me
sir_7129689,Whitecliffsofdover
sir_4387173,Assertive
sir_6217232,Noble Bird
sir_5197836,So You Think
sir_3298582,Blueprint
sir_6803671,Harbour Law
sir_4623647,Archipenko
sir_5064906,Vita Venturi
sir_4783275,Estejo
sir_6076728,Karaktar
sir_19527683,Tiz The Law
sir_5594365,Lord Kanaloa
sir_5351703,French Navy
sir_5648727,Epaulette
sir_776510,Dr Massini
sir_3727269,Vinnie Roe
sir_4692114,Frozen Fire
sir_5179104,Planteur
sir_4506089,Hurricane Cat
sir_4452693,Deep Impact
sir_5992434,Bayern
sir_7108171,Prince Of Lir
sir_5856053,Bow Creek
sir_4494112,Carlotamix
sir_3591329,Giant's Causeway
