jockey_id,total_rides,dist,dist_y,dist_m,dist_f,rides,1st,2nd,3rd,4th,a/e,win_%,1_pl
jky_277176,133,1m7½f,3451,3156,15.5f,4,0,1,0,0,0.0,0.0,-4.0
jky_277176,133,6f,1320,1200.0,6f,4,0,0,0,0,0.0,0.0,-4.0
jky_277176,133,1m,1760,1609,8f,3,1,0,0,0,3.98,0.33,8.0
jky_277176,133,2m4f,4400,4023,20f,3,0,0,2,0,0.0,0.0,-3.0
jky_277176,133,2m2½f,4046,3700,18.5f,3,2,0,0,0,7.17,0.67,35.0
jky_277176,133,5f,1100,1000.0,5f,2,0,0,0,1,0.0,0.0,-2.0
jky_277176,133,1m5½f,3007,2750,13.5f,2,0,0,0,0,0.0,0.0,-2.0
jky_277176,133,1m3½f,2560,2341,11.5f,2,1,0,0,0,3.21,0.5,3.0
jky_277176,133,2m2f,3960,3621,18f,2,0,0,0,0,0.0,0.0,-2.0
jky_277176,133,1m½f,1860,1700.0,8.5f,2,0,0,0,0,0.0,0.0,-2.0
jky_277176,133,1m1f,1981,1811,9f,1,0,0,0,0,0.0,0.0,-1.0
jky_277176,133,7f,1540,1408,7f,1,0,0,0,0,0.0,0.0,-1.0
jky_277176,133,1m7f,3350,3063,15f,1,0,0,0,0,0.0,0.0,-1.0
jky_277176,133,2m4½f,4500,4115,20.5f,1,0,0,0,0,0.0,0.0,-1.0
jky_277176,133,1m5f,2876,2630,13f,1,1,0,0,0,5.5,1.0,4.5
jky_263244,3374,2m,3520,3219,16f,696,49,46,49,53,0.97,0.07,-260.5
jky_263244,3374,2m4f,4386,4011,20f,449,33,36,34,39,0.88,0.07,-79.0
jky_263244,3374,1m,1760,1609,8f,251,13,13,13,14,0.86,0.05,-35.92
jky_263244,3374,3m,5280,4828,24f,199,8,8,15,9,0.49,0.04,-137.0
jky_263244,3374,7f,1540,1408,7f,189,7,5,11,8,0.77,0.04,-63.87
jky_263244,3374,2m6f,4840,4426,22f,114,9,11,6,15,0.82,0.08,-45.92
jky_263244,3374,6f,1320,1207,6f,111,10,5,8,5,1.25,0.09,16.0
jky_263244,3374,2m2f,3960,3621,18f,110,10,13,6,9,1.04,0.09,-6.28
jky_263244,3374,2m½f,3602,3294,16.5f,108,10,6,6,7,1.12,0.09,-11.0
jky_263244,3374,1m4f,2640,2414,12f,104,4,5,4,3,0.75,0.04,-41.5
jky_263244,3374,2m1f,3740,3420,17f,95,11,8,5,8,1.22,0.12,-10.56
jky_263244,3374,2m3f,4125,3772,19f,82,4,8,7,8,0.66,0.05,-30.12
jky_263244,3374,2m5f,4620,4225,21f,77,2,8,3,9,0.31,0.03,-60.0
jky_263244,3374,5f,1100,1006,5f,73,4,8,5,3,0.62,0.05,-55.35
jky_263244,3374,1m2f,2220,2030,10f,65,3,1,5,5,0.79,0.05,-51.06
jky_263244,3374,1m2½f,2266,2072,10.5f,54,2,3,4,2,0.54,0.04,-40.12
jky_263244,3374,2m6½f,4929,4507,22.5f,52,6,4,5,2,1.46,0.12,78.0
jky_263244,3374,3m1f,5500,5029,25f,47,5,4,5,7,1.06,0.11,-22.75
jky_263244,3374,2m3½f,4339,3968,19.5f,46,4,2,4,4,0.87,0.09,-18.25
jky_263244,3374,2m4½f,4465,4083,20.5f,44,6,2,5,8,1.58,0.14,10.0
jky_263244,3374,2m7f,5056,4623,23f,37,2,2,6,1,0.73,0.05,-15.0
jky_263244,3374,1m1½f,2080,1902,9.5f,37,1,1,1,2,0.74,0.03,-27.5
jky_263244,3374,2m5½f,4680,4279,21.5f,32,5,1,0,1,1.65,0.16,11.5
jky_263244,3374,1m6f,3080,2816,14f,27,1,2,1,3,0.55,0.04,-12.0
jky_263244,3374,1m1f,1981,1811,9f,26,0,0,1,2,0.0,0.0,-26.0
jky_263244,3374,3m½f,5400,4938,24.5f,24,1,2,0,5,0.57,0.04,2.0
jky_263244,3374,1m½f,1833,1676,8.5f,23,0,1,1,3,0.0,0.0,-23.0
jky_263244,3374,7½f,1640,1500,7.5f,22,1,1,0,3,0.78,0.05,-11.0
jky_263244,3374,2m2½f,4070,3722,18.5f,17,1,0,0,4,0.58,0.06,-12.5
jky_263244,3374,1m4½f,2703,2472,12.5f,16,0,2,0,2,0.0,0.0,-16.0
jky_263244,3374,2m1½f,3900,3566,17.5f,15,2,1,1,0,2.08,0.13,-4.0
jky_263244,3374,6½f,1383,1265,6.5f,13,0,0,1,2,0.0,0.0,-13.0
jky_263244,3374,1m3f,2475,2263,11f,13,0,0,0,2,0.0,0.0,-13.0
jky_263244,3374,1m3½f,2500,2286,11.5f,13,1,1,2,1,0.61,0.08,-6.5
jky_263244,3374,5½f,1260,1152,5.5f,12,1,1,1,0,1.2,0.08,-9.9
jky_263244,3374,1m5f,2900,2652,13f,11,2,1,0,0,3.87,0.18,11.0
jky_263244,3374,2m7½f,5169,4727,23.5f,10,1,0,0,0,1.19,0.1,-4.0
jky_263244,3374,3m4f,6160,5633,28f,10,0,2,0,1,0.0,0.0,-10.0
jky_263244,3374,3m5f,6380,5834,29f,9,1,0,1,0,1.64,0.11,4.0
jky_263244,3374,3m6f,6637,6069,30f,8,0,0,1,1,0.0,0.0,-8.0
jky_263244,3374,3m2f,5770,5276,26f,8,0,3,1,1,0.0,0.0,-8.0
jky_263244,3374,3m1½f,5587,5109,25.5f,6,0,0,1,1,0.0,0.0,-6.0
jky_263244,3374,1m5½f,3015,2757,13.5f,6,0,0,1,0,0.0,0.0,-6.0
jky_263244,3374,3m4½f,6240,5706,28.5f,4,0,0,0,1,0.0,0.0,-4.0
jky_263244,3374,1m7½f,3424,3131,15.5f,2,0,1,0,0,0.0,0.0,-2.0
jky_263244,3374,4m2½f,7553,6907,34.5f,2,0,0,0,0,0.0,0.0,-2.0
jky_263244,3374,1m7f,3300,3018,15f,1,0,0,0,0,0.0,0.0,-1.0
jky_263244,3374,3m5½f,6489,5934,29.5f,1,0,0,0,0,0.0,0.0,-1.0
jky_263244,3374,1m6½f,3150,2880,14.5f,1,0,0,0,0,0.0,0.0,-1.0
jky_263244,3374,4m2f,7488,6847,34f,1,0,0,0,0,0.0,0.0,-1.0
jky_263244,3374,3m6½f,6730,6154,30.5f,1,0,0,0,0,0.0,0.0,-1.0
jky_282072,1320,6f,1315,1202,6f,263,32,30,25,24,0.92,0.12,-87.44
jky_282072,1320,7f,1556,1423,7f,261,23,42,27,26,0.71,0.09,-106.57
jky_282072,1320,1m,1760,1609,8f,203,20,19,26,26,0.81,0.1,-30.29
jky_282072,1320,5f,1106,1011,5f,168,18,25,16,23,0.7,0.11,-6.19
jky_282072,1320,1m2f,2200,2012,10f,99,8,10,9,16,0.68,0.08,-27.88
jky_282072,1320,1m4f,2631,2406,12f,68,8,8,7,9,0.85,0.12,-24.5
jky_282072,1320,1m½f,1835,1678,8.5f,47,1,3,8,3,0.18,0.02,-44.38
jky_282072,1320,1m6f,3078,2815,14f,29,5,2,2,4,0.94,0.17,-6.65
jky_282072,1320,1m1f,1981,1811,9f,25,2,5,3,3,0.48,0.08,-15.0
jky_282072,1320,7½f,1636,1496,7.5f,22,4,6,3,5,1.06,0.18,-5.67
jky_282072,1320,1m1½f,2084,1906,9.5f,21,1,3,1,2,0.51,0.05,-11.0
jky_282072,1320,2m,3520,3219,16f,19,5,2,4,3,1.17,0.26,-0.65
jky_282072,1320,1m4½f,2703,2472,12.5f,17,1,0,1,2,0.47,0.06,-14.25
jky_282072,1320,2m½f,3622,3312,16.5f,15,1,2,1,3,0.61,0.07,-11.0
jky_282072,1320,1m2½f,2270,2076,10.5f,11,1,0,0,2,0.97,0.09,-4.5
jky_282072,1320,1m3f,2419,2212,11f,10,1,3,0,3,0.97,0.1,3.0
jky_282072,1320,1m3½f,2557,2338,11.5f,10,4,0,0,2,1.42,0.4,-1.13
jky_282072,1320,5½f,1160,1061,5.5f,10,2,1,1,1,0.99,0.2,-4.37
jky_282072,1320,1m5f,2860,2615,13f,8,0,0,2,1,0.0,0.0,-8.0
jky_282072,1320,1m5½f,2926,2676,13.5f,6,0,0,2,0,0.0,0.0,-6.0
jky_282072,1320,6½f,1430,1300.0,6.5f,3,1,0,0,0,6.52,0.33,10.0
jky_282072,1320,2m1f,3767,3445,17f,2,0,1,0,0,0.0,0.0,-2.0
jky_282072,1320,2m2½f,4100,3749,18.5f,1,0,0,0,0,0.0,0.0,-1.0
jky_282072,1320,2m2f,3960,3621,18f,1,0,0,0,0,0.0,0.0,-1.0
jky_282072,1320,1m7f,3300,3018,15f,1,0,0,0,1,0.0,0.0,-1.0
jky_249150,1822,2m,3471,3174,16f,410,25,31,38,47,0.68,0.06,-236.24
jky_249150,1822,2m½f,3645,3333,16.5f,177,17,12,12,13,1.13,0.1,-73.27
jky_249150,1822,2m4f,4400,4023,20f,157,18,13,18,20,1.17,0.11,8.66
jky_249150,1822,3m,5250,4801,24f,149,11,15,20,22,0.64,0.07,-72.49
jky_249150,1822,2m3½f,4268,3903,19.5f,92,6,9,8,9,0.73,0.07,-69.33
jky_249150,1822,2m4½f,4538,4150,20.5f,83,6,13,6,8,0.75,0.07,-12.0
jky_249150,1822,2m5f,4620,4225,21f,77,5,5,10,8,0.78,0.06,-36.59
jky_249150,1822,2m5½f,4783,4374,21.5f,67,7,4,9,10,1.01,0.1,39.75
jky_249150,1822,2m1f,3786,3462,17f,58,8,7,4,5,1.06,0.14,-6.67
jky_249150,1822,2m7½f,5130,4691,23.5f,58,5,10,4,7,0.69,0.09,-35.67
jky_249150,1822,1m7½f,3365,3077,15.5f,50,5,3,2,8,1.08,0.1,-22.25
jky_249150,1822,2m3f,4151,3796,19f,49,3,6,5,4,0.63,0.06,-33.0
jky_249150,1822,3m1f,5510,5038,25f,46,5,4,3,6,1.12,0.11,-17.5
jky_249150,1822,2m7f,5075,4641,23f,45,5,4,1,5,1.09,0.11,-14.52
jky_249150,1822,2m1½f,3817,3490,17.5f,34,3,3,3,8,0.82,0.09,-20.88
jky_249150,1822,3m½f,5376,4916,24.5f,34,6,5,2,3,1.65,0.18,19.0
jky_249150,1822,2m6½f,4947,4524,22.5f,31,5,6,5,1,0.91,0.16,-7.0
jky_249150,1822,2m2½f,4070,3722,18.5f,31,2,1,4,7,0.74,0.06,-20.5
jky_249150,1822,3m1½f,5652,5168,25.5f,26,4,4,0,2,1.41,0.15,6.0
jky_249150,1822,3m2f,5721,5231,26f,22,2,2,0,3,0.95,0.09,2.5
jky_249150,1822,2m6f,4847,4432,22f,19,1,4,2,1,0.45,0.05,-13.0
jky_249150,1822,3m5f,6404,5856,29f,15,0,2,4,3,0.0,0.0,-15.0
jky_249150,1822,3m6f,6600,6035,30f,10,0,0,0,1,0.0,0.0,-10.0
jky_249150,1822,3m3½f,6089,5568,27.5f,9,0,4,1,0,0.0,0.0,-9.0
jky_249150,1822,3m2½f,5779,5284,26.5f,9,3,1,1,1,3.17,0.33,35.0
jky_249150,1822,3m3f,5922,5415,27f,9,2,0,1,2,1.57,0.22,1.5
jky_249150,1822,1m5½f,3019,2761,13.5f,7,1,1,1,1,0.82,0.14,-4.5
jky_249150,1822,4m,6996,6397,32f,6,2,0,0,1,3.95,0.33,16.0
jky_249150,1822,2m2f,3985,3644,18f,5,1,0,2,0,1.42,0.2,8.0
jky_249150,1822,3m5½f,6522,5964,29.5f,5,0,2,0,0,0.0,0.0,-5.0
jky_249150,1822,1m7f,3350,3063,15f,5,1,0,0,2,3.02,0.2,10.0
jky_249150,1822,4m1½f,7352,6723,33.5f,4,0,1,1,0,0.0,0.0,-4.0
jky_249150,1822,1m5f,2898,2650,13f,3,0,0,1,0,0.0,0.0,-3.0
jky_249150,1822,3m4f,6160,5633,28f,3,1,0,0,0,2.98,0.33,2.0
jky_249150,1822,4m4f,7920,7242,36f,3,0,0,0,0,0.0,0.0,-3.0
jky_249150,1822,1m,1760,1609,8f,2,0,0,0,1,0.0,0.0,-2.0
jky_249150,1822,1m4f,2640,2400.0,12f,2,2,0,0,0,1.94,1.0,2.25
jky_249150,1822,1m1½f,2083,1905,9.5f,2,0,0,0,0,0.0,0.0,-2.0
jky_249150,1822,3m7f,6820,6236,31f,2,0,0,0,0,0.0,0.0,-2.0
jky_249150,1822,1m6f,3080,2816,14f,1,0,0,0,0,0.0,0.0,-1.0
jky_249150,1822,1m4½f,2783,2545,12.5f,1,0,0,0,0,0.0,0.0,-1.0
jky_249150,1822,3m4½f,6262,5726,28.5f,1,0,0,0,0,0.0,0.0,-1.0
jky_249150,1822,4m½f,7160,6547,32.5f,1,0,0,0,0,0.0,0.0,-1.0
jky_249150,1822,1m2f,2200,2012,10f,1,0,0,0,0,0.0,0.0,-1.0
jky_249150,1822,3m6½f,6721,6146,30.5f,1,0,0,0,0,0.0,0.0,-1.0
jky_278985,1090,6f,1282,1172,6f,215,23,20,20,8,1.03,0.11,23.88
jky_278985,1090,7f,1554,1421,7f,164,13,18,16,11,0.78,0.08,-30.63
jky_278985,1090,1m,1760,1609,8f,119,6,15,16,11,0.45,0.05,-59.5
jky_278985,1090,1m4f,2648,2421,12f,108,15,10,15,10,1.12,0.14,37.63
jky_278985,1090,1m2f,2242,2050,10f,95,7,6,14,11,0.75,0.07,-48.25
jky_278985,1090,5f,1100,1006,5f,80,3,3,14,15,0.39,0.04,-51.5
jky_278985,1090,2m,3518,3217,16f,48,7,3,5,5,0.83,0.15,-26.37
jky_278985,1090,1m6f,3080,2816,14f,38,4,7,10,1,0.66,0.11,-19.95
jky_278985,1090,1m½f,1902,1739,8.5f,33,2,4,1,6,0.54,0.06,-6.25
jky_278985,1090,1m3f,2458,2248,11f,24,3,3,3,4,1.19,0.12,24.0
jky_278985,1090,1m3½f,2557,2338,11.5f,19,5,2,1,3,2.14,0.26,5.75
jky_278985,1090,5½f,1210,1106,5.5f,17,2,4,1,2,0.83,0.12,18.0
jky_278985,1090,2m½f,3576,3270,16.5f,16,3,0,2,2,1.1,0.19,-8.33
jky_278985,1090,7½f,1667,1524,7.5f,16,1,2,4,2,0.61,0.06,-12.0
jky_278985,1090,1m1f,1981,1811,9f,14,3,3,2,1,1.24,0.21,-0.25
jky_278985,1090,2m1f,3787,3463,17f,13,4,3,2,0,1.33,0.31,5.75
jky_278985,1090,1m1½f,2084,1906,9.5f,13,2,0,2,3,1.53,0.15,14.0
jky_278985,1090,1m2½f,2256,2063,10.5f,11,1,1,0,0,1.03,0.09,-8.0
jky_278985,1090,1m4½f,2738,2504,12.5f,11,1,1,1,2,0.66,0.09,-8.5
jky_278985,1090,1m5f,2886,2639,13f,10,2,1,1,0,1.02,0.2,1.3
jky_278985,1090,1m5½f,2921,2671,13.5f,5,0,1,2,1,0.0,0.0,-5.0
jky_278985,1090,2m2f,3960,3621,18f,5,0,1,0,0,0.0,0.0,-5.0
jky_278985,1090,1m7½f,3451,3156,15.5f,5,2,0,1,0,1.07,0.4,1.72
jky_278985,1090,1m6½f,3194,2921,14.5f,3,0,0,1,0,0.0,0.0,-3.0
jky_278985,1090,2m5½f,4759,4352,21.5f,2,1,0,0,0,4.46,0.5,5.5
jky_278985,1090,2m4f,4390,4014,20f,2,0,0,0,0,0.0,0.0,-2.0
jky_278985,1090,1m7f,3350,3063,15f,2,0,0,0,0,0.0,0.0,-2.0
jky_278985,1090,2m7f,5085,4650,23f,1,0,0,0,1,0.0,0.0,-1.0
jky_278985,1090,2m5f,4620,4225,21f,1,1,0,0,0,1.5,1.0,0.5
jky_276372,1868,2m,3520,3219,16f,552,75,63,66,62,0.96,0.14,-91.84
jky_276372,1868,2m4f,4400,4023,20f,327,47,29,33,29,1.03,0.14,-71.28
jky_276372,1868,3m,5280,4828,24f,148,13,20,13,15,0.73,0.09,-66.77
jky_276372,1868,2m½f,3650,3338,16.5f,105,11,14,7,9,0.9,0.1,-12.2
jky_276372,1868,2m2f,3993,3651,18f,97,11,10,7,11,0.87,0.11,-49.97
jky_276372,1868,2m1f,3740,3420,17f,96,6,9,10,11,0.5,0.06,-28.12
jky_276372,1868,2m5f,4620,4225,21f,92,8,16,9,4,0.68,0.09,-53.74
jky_276372,1868,2m6f,4840,4426,22f,70,7,10,7,6,0.75,0.1,-35.5
jky_276372,1868,2m3f,4125,3772,19f,51,7,6,11,3,0.76,0.14,-22.5
jky_276372,1868,2m6½f,4980,4554,22.5f,46,6,7,5,2,1.05,0.13,19.23
jky_276372,1868,2m4½f,4500,4115,20.5f,40,4,6,3,7,0.77,0.1,-16.75
jky_276372,1868,3m½f,5340,4883,24.5f,39,4,2,1,4,1.08,0.1,7.5
jky_276372,1868,2m3½f,4300,3932,19.5f,35,6,4,2,4,0.78,0.17,-12.75
jky_276372,1868,3m1f,5500,5029,25f,28,4,2,2,1,1.07,0.14,-4.63
jky_276372,1868,2m5½f,4720,4316,21.5f,22,0,3,5,3,0.0,0.0,-22.0
jky_276372,1868,2m7f,5020,4590,23f,21,2,1,2,1,0.59,0.1,-17.5
jky_276372,1868,2m7½f,5169,4727,23.5f,13,1,1,2,0,0.61,0.08,-3.0
jky_276372,1868,2m1½f,3827,3499,17.5f,13,4,1,1,1,1.47,0.31,5.55
jky_276372,1868,2m2½f,4044,3698,18.5f,10,1,2,1,0,0.89,0.1,1.0
jky_276372,1868,1m7½f,3380,3091,15.5f,8,1,1,0,0,0.99,0.12,5.0
jky_276372,1868,3m5f,6380,5834,29f,7,1,1,0,0,2.47,0.14,2.5
jky_276372,1868,3m4½f,6279,5742,28.5f,5,0,0,1,0,0.0,0.0,-5.0
jky_276372,1868,1m6f,3080,2816,14f,5,0,0,1,0,0.0,0.0,-5.0
jky_276372,1868,3m4f,6160,5633,28f,5,0,0,2,1,0.0,0.0,-5.0
jky_276372,1868,3m2f,5688,5201,26f,5,0,0,0,0,0.0,0.0,-5.0
jky_276372,1868,1m4f,2640,2414,12f,5,1,0,0,0,1.17,0.2,-2.5
jky_276372,1868,4m2½f,7553,6907,34.5f,4,1,1,0,0,7.94,0.25,30.0
jky_276372,1868,3m6f,6600,6000.0,30f,4,0,0,1,0,0.0,0.0,-4.0
jky_276372,1868,3m2½f,5790,5294,26.5f,3,0,0,0,0,0.0,0.0,-3.0
jky_276372,1868,3m1½f,5610,5100.0,25.5f,3,0,1,0,1,0.0,0.0,-3.0
jky_276372,1868,5½f,1260,1152,5.5f,2,1,0,0,0,2.27,0.5,0.75
jky_276372,1868,1m,1760,1609,8f,2,0,0,0,0,0.0,0.0,-2.0
jky_276372,1868,1m5f,2829,2587,13f,2,0,1,0,0,0.0,0.0,-2.0
jky_276372,1868,1m3f,2470,2259,11f,1,0,0,0,1,0.0,0.0,-1.0
jky_276372,1868,7f,1540,1408,7f,1,0,0,0,0,0.0,0.0,-1.0
jky_276372,1868,1m2½f,2350,2149,10.5f,1,0,0,0,1,0.0,0.0,-1.0
jky_8238,5236,2m,3531,3229,16f,1218,110,118,127,114,0.86,0.09,-361.11
jky_8238,5236,2m½f,3668,3354,16.5f,523,46,51,39,42,0.83,0.09,-229.44
jky_8238,5236,2m4f,4386,4011,20f,410,54,38,54,49,1.07,0.13,-48.1
jky_8238,5236,3m,5269,4818,24f,301,28,39,25,29,0.71,0.09,-102.06
jky_8238,5236,2m5f,4620,4225,21f,284,27,26,28,27,0.88,0.1,-17.41
jky_8238,5236,2m3½f,4245,3882,19.5f,277,28,28,34,16,0.91,0.1,-77.87
jky_8238,5236,2m1½f,3884,3552,17.5f,248,24,24,27,26,0.81,0.1,-101.46
jky_8238,5236,2m4½f,4538,4150,20.5f,234,21,15,21,27,0.91,0.09,-46.55
jky_8238,5236,2m5½f,4742,4336,21.5f,204,17,23,22,17,0.71,0.08,-85.5
jky_8238,5236,2m7½f,5169,4727,23.5f,181,18,20,21,12,0.86,0.1,32.23
jky_8238,5236,2m3f,4213,3852,19f,179,16,21,14,17,0.83,0.09,-62.29
jky_8238,5236,2m1f,3695,3379,17f,173,15,22,13,12,0.74,0.09,-19.75
jky_8238,5236,1m7½f,3365,3077,15.5f,165,13,19,10,13,0.78,0.08,-96.13
jky_8238,5236,3m1f,5496,5026,25f,136,15,15,9,19,0.86,0.11,-19.69
jky_8238,5236,3m½f,5376,4916,24.5f,109,9,8,14,13,0.71,0.08,-36.55
jky_8238,5236,2m6½f,4933,4511,22.5f,94,2,10,8,15,0.22,0.02,-80.0
jky_8238,5236,3m1½f,5606,5126,25.5f,68,9,9,8,7,1.01,0.13,-7.18
jky_8238,5236,2m6f,4840,4426,22f,65,9,5,10,8,0.98,0.14,-0.37
jky_8238,5236,2m7f,5075,4641,23f,64,4,3,11,5,0.65,0.06,-37.0
jky_8238,5236,2m2½f,4108,3756,18.5f,63,3,6,6,8,0.55,0.05,-36.75
jky_8238,5236,3m2f,5714,5225,26f,58,2,6,9,7,0.23,0.03,-47.25
jky_8238,5236,2m2f,3985,3644,18f,41,8,5,5,4,1.26,0.2,60.66
jky_8238,5236,3m2½f,5803,5306,26.5f,16,1,0,2,2,0.58,0.06,-12.75
jky_8238,5236,3m5f,6358,5814,29f,15,3,1,3,1,1.39,0.2,7.0
jky_8238,5236,3m4½f,6270,5733,28.5f,12,2,1,4,1,0.93,0.17,2.75
jky_8238,5236,1m5f,2898,2650,13f,12,1,0,4,0,0.83,0.08,-9.25
jky_8238,5236,1m5½f,3003,2746,13.5f,10,0,0,1,2,0.0,0.0,-10.0
jky_8238,5236,1m7f,3335,3050,15f,9,2,3,1,1,0.82,0.22,-4.37
jky_8238,5236,1m6f,3087,2823,14f,8,0,3,0,0,0.0,0.0,-8.0
jky_8238,5236,4m½f,7162,6549,32.5f,8,0,0,0,1,0.0,0.0,-8.0
jky_8238,5236,1m4½f,2783,2545,12.5f,7,1,0,0,1,2.25,0.14,3.0
jky_8238,5236,4m4f,7920,7242,36f,6,0,0,0,0,0.0,0.0,-6.0
jky_8238,5236,4m,7040,6437,32f,5,0,0,0,0,0.0,0.0,-5.0
jky_8238,5236,3m4f,6160,5633,28f,4,1,1,1,0,1.96,0.25,9.0
jky_8238,5236,3m3½f,6010,5496,27.5f,4,0,0,1,0,0.0,0.0,-4.0
jky_8238,5236,1m,1760,1609,8f,4,0,1,0,0,0.0,0.0,-4.0
jky_8238,5236,4m1f,7260,6639,33f,3,0,1,0,0,0.0,0.0,-3.0
jky_8238,5236,3m5½f,6522,5964,29.5f,3,0,0,0,1,0.0,0.0,-3.0
jky_8238,5236,1m4f,2645,2419,12f,3,1,0,1,1,2.31,0.33,2.0
jky_8238,5236,3m3f,5949,5440,27f,3,0,0,0,0,0.0,0.0,-3.0
jky_8238,5236,3m6½f,6753,6175,30.5f,3,0,0,1,0,0.0,0.0,-3.0
jky_8238,5236,6f,1315,1202,6f,2,0,0,0,0,0.0,0.0,-2.0
jky_8238,5236,3m7f,6820,6236,31f,1,0,0,0,0,0.0,0.0,-1.0
jky_8238,5236,3m6f,6637,6069,30f,1,0,0,0,0,0.0,0.0,-1.0
jky_8238,5236,4m2f,7480,6840,34f,1,0,0,0,0,0.0,0.0,-1.0
jky_8238,5236,7f,1556,1423,7f,1,0,0,0,1,0.0,0.0,-1.0
jky_28107,1168,5f,1100,1006,5f,462,43,41,35,35,1.04,0.09,-40.85
jky_28107,1168,6f,1336,1222,6f,378,25,31,33,35,0.81,0.07,-96.88
jky_28107,1168,7f,1572,1437,7f,149,5,10,11,7,0.46,0.03,-60.0
jky_28107,1168,1m,1760,1609,8f,84,3,1,1,6,0.61,0.04,-36.0
jky_28107,1168,1m1½f,2083,1905,9.5f,18,4,4,3,0,1.37,0.22,4.25
jky_28107,1168,1m2f,2196,2008,10f,17,1,0,1,4,1.17,0.06,-9.0
jky_28107,1168,1m4f,2654,2427,12f,16,1,0,1,2,0.55,0.06,-14.33
jky_28107,1168,1m½f,1901,1738,8.5f,15,0,0,1,1,0.0,0.0,-15.0
jky_28107,1168,1m3f,2443,2234,11f,8,0,1,1,0,0.0,0.0,-8.0
jky_28107,1168,1m2½f,2320,2121,10.5f,5,0,0,0,1,0.0,0.0,-5.0
jky_28107,1168,7½f,1636,1496,7.5f,4,0,0,0,0,0.0,0.0,-4.0
jky_28107,1168,1m6f,3101,2836,14f,4,1,0,2,0,2.38,0.25,1.0
jky_28107,1168,5½f,1210,1106,5.5f,3,0,0,0,0,0.0,0.0,-3.0
jky_28107,1168,1m1f,1981,1811,9f,2,0,0,0,1,0.0,0.0,-2.0
jky_28107,1168,2m½f,3622,3312,16.5f,1,0,0,0,1,0.0,0.0,-1.0
