sire_id,sire_name,total_runners,class,runners,1st,2nd,3rd,4th,a/e,win_%,1_pl
sir_14220731,Calyx (GB),662,Class 5,183,34,19,24,24,1.1,0.19,50.33
sir_14220731,Calyx (GB),662,,173,22,17,15,18,1.07,0.13,56.41
sir_14220731,Calyx (GB),662,Class 4,121,17,17,11,17,0.81,0.14,-49.43
sir_14220731,Calyx (GB),662,Class 6,59,8,5,6,7,0.93,0.14,-14.32
sir_14220731,Calyx (GB),662,Class 2,53,7,7,7,4,0.88,0.13,-3.81
sir_14220731,Calyx (GB),662,Class 1,37,2,4,2,11,0.42,0.05,-27.0
sir_14220731,Calyx (GB),662,Class 3,36,9,4,4,6,1.4,0.25,6.52
sir_5084065,Starspangledbanner (AUS),5963,,1930,220,209,201,184,0.87,0.11,-87.45
sir_5084065,Starspangledbanner (AUS),5963,Class 4,1144,136,147,127,121,0.88,0.12,-180.42
sir_5084065,Starspangledbanner (AUS),5963,Class 5,1141,125,121,139,130,0.81,0.11,-432.05
sir_5084065,Starspangledbanner (AUS),5963,Class 6,744,73,78,72,67,0.84,0.1,-191.25
sir_5084065,Starspangledbanner (AUS),5963,Class 3,469,63,42,52,53,0.98,0.13,-66.49
sir_5084065,Starspangledbanner (AUS),5963,Class 2,335,29,37,34,24,0.74,0.09,-156.25
sir_5084065,Starspangledbanner (AUS),5963,Class 1,198,18,23,30,16,0.72,0.09,-47.55
sir_5084065,Starspangledbanner (AUS),5963,Class 7,2,1,1,0,0,3.0,0.5,5.5
sir_5298622,Mayson (GB),6457,Class 5,1681,203,186,207,185,0.91,0.12,-294.01
sir_5298622,Mayson (GB),6457,Class 6,1573,190,163,168,171,0.91,0.12,-265.54
sir_5298622,Mayson (GB),6457,,1068,79,89,92,85,0.76,0.07,-374.15
sir_5298622,Mayson (GB),6457,Class 4,1056,127,128,110,141,0.9,0.12,-320.11
sir_5298622,Mayson (GB),6457,Class 2,465,46,43,47,52,0.88,0.1,-80.15
sir_5298622,Mayson (GB),6457,Class 3,462,47,45,63,56,0.79,0.1,-90.98
sir_5298622,Mayson (GB),6457,Class 1,146,12,17,13,16,0.76,0.08,-16.5
sir_5298622,Mayson (GB),6457,Class 7,6,2,0,1,0,3.57,0.33,15.5
sir_4080139,Kodiac (GB),22160,Class 5,5413,670,669,624,601,0.9,0.12,-934.24
sir_4080139,Kodiac (GB),22160,,4900,418,480,465,438,0.78,0.09,-1793.43
sir_4080139,Kodiac (GB),22160,Class 6,4197,425,443,427,454,0.84,0.1,-732.83
sir_4080139,Kodiac (GB),22160,Class 4,3902,456,476,475,439,0.9,0.12,-885.94
sir_4080139,Kodiac (GB),22160,Class 3,1443,144,167,165,157,0.8,0.1,-494.82
sir_4080139,Kodiac (GB),22160,Class 2,1407,119,125,126,150,0.8,0.08,-399.51
sir_4080139,Kodiac (GB),22160,Class 1,843,78,80,85,83,0.85,0.09,-131.68
sir_4080139,Kodiac (GB),22160,Class 7,55,6,5,4,9,0.83,0.11,11.12
sir_6308554,Gun Runner (USA),368,,359,66,62,55,53,0.98,0.18,-28.03
sir_6308554,Gun Runner (USA),368,Class 5,4,0,1,0,0,0.0,0.0,-4.0
sir_6308554,Gun Runner (USA),368,Class 6,2,1,1,0,0,1.29,0.5,2.6
sir_6308554,Gun Runner (USA),368,Class 4,2,0,1,0,0,0.0,0.0,-2.0
sir_6308554,Gun Runner (USA),368,Class 1,1,0,0,0,0,0.0,0.0,-1.0
sir_8866032,Masar (IRE),501,Class 5,168,15,15,25,28,0.69,0.09,-80.43
sir_8866032,Masar (IRE),501,Class 4,117,13,15,18,13,0.82,0.11,-16.38
sir_8866032,Masar (IRE),501,,112,16,13,7,9,1.09,0.14,-11.48
sir_8866032,Masar (IRE),501,Class 6,64,6,5,8,5,0.92,0.09,-7.5
sir_8866032,Masar (IRE),501,Class 2,25,5,3,1,3,2.0,0.2,21.5
sir_8866032,Masar (IRE),501,Class 3,9,1,1,2,2,0.83,0.11,-6.9
sir_8866032,Masar (IRE),501,Class 1,6,0,2,0,1,0.0,0.0,-6.0
sir_8174257,Cracksman (GB),1025,Class 5,287,38,31,35,34,0.91,0.13,-84.22
sir_8174257,Cracksman (GB),1025,Class 4,226,26,26,22,18,0.9,0.12,70.92
sir_8174257,Cracksman (GB),1025,,179,29,17,19,17,1.19,0.16,42.19
sir_8174257,Cracksman (GB),1025,Class 6,148,18,18,16,13,0.83,0.12,-7.58
sir_8174257,Cracksman (GB),1025,Class 2,89,7,8,9,6,0.69,0.08,11.66
sir_8174257,Cracksman (GB),1025,Class 3,61,9,6,10,7,0.91,0.15,-24.37
sir_8174257,Cracksman (GB),1025,Class 1,35,4,4,3,1,0.85,0.11,-18.59
sir_13368124,Land Force (IRE),775,Class 5,307,25,29,36,35,0.77,0.08,-109.16
sir_13368124,Land Force (IRE),775,Class 6,193,26,18,10,16,1.22,0.13,-12.73
sir_13368124,Land Force (IRE),775,Class 4,140,10,14,8,16,0.74,0.07,-41.46
sir_13368124,Land Force (IRE),775,,74,3,3,10,4,0.49,0.04,-47.0
sir_13368124,Land Force (IRE),775,Class 2,30,2,1,0,4,1.07,0.07,-16.5
sir_13368124,Land Force (IRE),775,Class 3,26,2,2,4,3,0.74,0.08,-10.5
sir_13368124,Land Force (IRE),775,Class 1,5,0,0,0,1,0.0,0.0,-5.0
sir_13695164,Hello Youmzain (FR),195,,126,15,14,15,12,0.92,0.12,-15.92
sir_13695164,Hello Youmzain (FR),195,Class 4,26,8,4,5,3,1.44,0.31,17.25
sir_13695164,Hello Youmzain (FR),195,Class 5,23,6,6,4,4,0.96,0.26,-1.57
sir_13695164,Hello Youmzain (FR),195,Class 2,9,0,2,1,1,0.0,0.0,-9.0
sir_13695164,Hello Youmzain (FR),195,Class 1,5,0,1,1,0,0.0,0.0,-5.0
sir_13695164,Hello Youmzain (FR),195,Class 3,4,0,0,0,1,0.0,0.0,-4.0
sir_13695164,Hello Youmzain (FR),195,Class 6,2,0,0,0,0,0.0,0.0,-2.0
sir_5133128,Siyouni (FR),7675,,4793,635,545,488,517,0.94,0.13,-473.98
sir_5133128,Siyouni (FR),7675,Class 5,905,125,136,122,101,0.81,0.14,-238.5
sir_5133128,Siyouni (FR),7675,Class 4,789,93,114,81,76,0.78,0.12,-214.46
sir_5133128,Siyouni (FR),7675,Class 3,366,37,44,41,43,0.76,0.1,-144.3
sir_5133128,Siyouni (FR),7675,Class 2,326,32,38,33,28,0.79,0.1,-100.09
sir_5133128,Siyouni (FR),7675,Class 6,293,48,37,38,35,0.99,0.16,16.12
sir_5133128,Siyouni (FR),7675,Class 1,203,22,27,27,21,0.72,0.11,-43.76
sir_7175189,Blue Point (IRE),1399,,407,49,49,48,47,0.79,0.12,-59.27
sir_7175189,Blue Point (IRE),1399,Class 5,323,44,61,56,32,0.66,0.14,-103.54
sir_7175189,Blue Point (IRE),1399,Class 4,293,52,40,36,37,0.91,0.18,12.3
sir_7175189,Blue Point (IRE),1399,Class 2,110,10,12,17,11,0.66,0.09,-59.91
sir_7175189,Blue Point (IRE),1399,Class 6,101,17,12,8,11,1.02,0.17,29.62
sir_7175189,Blue Point (IRE),1399,Class 3,95,16,9,11,12,0.93,0.17,-15.13
sir_7175189,Blue Point (IRE),1399,Class 1,70,12,4,6,4,1.37,0.17,21.39
sir_4091143,Iffraaj (GB),14312,,3912,342,346,388,368,0.79,0.09,-1087.77
sir_4091143,Iffraaj (GB),14312,Class 5,3462,423,387,404,412,0.88,0.12,-709.4
sir_4091143,Iffraaj (GB),14312,Class 4,2538,266,316,282,266,0.82,0.1,-651.03
sir_4091143,Iffraaj (GB),14312,Class 6,2177,236,207,197,219,0.89,0.11,-427.87
sir_4091143,Iffraaj (GB),14312,Class 3,943,117,80,122,103,0.93,0.12,-114.05
sir_4091143,Iffraaj (GB),14312,Class 2,819,73,74,57,58,0.82,0.09,-289.73
sir_4091143,Iffraaj (GB),14312,Class 1,427,44,50,45,42,0.86,0.1,-92.94
sir_4091143,Iffraaj (GB),14312,Class 7,34,3,5,2,2,0.81,0.09,-3.25
sir_5246346,Wootton Bassett (GB),3615,,2307,281,276,240,232,0.89,0.12,-280.09
sir_5246346,Wootton Bassett (GB),3615,Class 5,379,53,45,54,54,0.86,0.14,-141.67
sir_5246346,Wootton Bassett (GB),3615,Class 4,355,38,26,60,45,0.79,0.11,-90.22
sir_5246346,Wootton Bassett (GB),3615,Class 6,161,18,16,19,18,0.85,0.11,-12.63
sir_5246346,Wootton Bassett (GB),3615,Class 2,156,21,17,8,17,0.98,0.13,-28.02
sir_5246346,Wootton Bassett (GB),3615,Class 1,141,20,17,18,13,1.0,0.14,-29.77
sir_5246346,Wootton Bassett (GB),3615,Class 3,114,12,15,9,9,0.83,0.11,-56.06
sir_5246346,Wootton Bassett (GB),3615,Class 7,2,0,0,0,0,0.0,0.0,-2.0
sir_5494055,Gregorian (IRE),1714,Class 5,519,56,63,48,57,0.92,0.11,-119.98
sir_5494055,Gregorian (IRE),1714,Class 6,462,47,44,32,37,0.96,0.1,-102.5
sir_5494055,Gregorian (IRE),1714,Class 4,287,25,32,23,32,0.8,0.09,-93.84
sir_5494055,Gregorian (IRE),1714,,256,20,13,22,19,0.96,0.08,-65.44
sir_5494055,Gregorian (IRE),1714,Class 3,78,9,6,9,10,1.08,0.12,-21.42
sir_5494055,Gregorian (IRE),1714,Class 1,62,3,8,5,5,0.79,0.05,-26.0
sir_5494055,Gregorian (IRE),1714,Class 2,47,2,7,4,3,0.4,0.04,-39.88
sir_5494055,Gregorian (IRE),1714,Class 7,3,1,0,0,0,3.04,0.33,1.5
sir_5292651,Zoffany (IRE),10767,,4346,361,449,414,380,0.72,0.08,-1291.23
sir_5292651,Zoffany (IRE),10767,Class 5,1998,210,220,234,207,0.84,0.11,-506.03
sir_5292651,Zoffany (IRE),10767,Class 4,1577,184,194,192,184,0.9,0.12,-297.37
sir_5292651,Zoffany (IRE),10767,Class 6,1336,137,117,140,123,0.85,0.1,-142.19
sir_5292651,Zoffany (IRE),10767,Class 3,668,61,83,78,78,0.74,0.09,-59.61
sir_5292651,Zoffany (IRE),10767,Class 2,551,55,49,54,51,0.93,0.1,118.2
sir_5292651,Zoffany (IRE),10767,Class 1,272,33,33,31,26,0.98,0.12,-10.62
sir_5292651,Zoffany (IRE),10767,Class 7,19,3,3,0,1,1.68,0.16,0.5
sir_5865139,Zoustar (AUS),2972,,1020,114,102,113,85,0.91,0.11,-212.95
sir_5865139,Zoustar (AUS),2972,Class 4,686,74,60,86,70,0.84,0.11,-47.41
sir_5865139,Zoustar (AUS),2972,Class 5,521,70,62,52,52,1.01,0.13,-127.59
sir_5865139,Zoustar (AUS),2972,Class 3,321,30,27,43,42,0.73,0.09,-40.1
sir_5865139,Zoustar (AUS),2972,Class 6,261,28,18,38,21,0.93,0.11,-30.13
sir_5865139,Zoustar (AUS),2972,Class 2,90,14,9,7,5,1.07,0.16,-18.72
sir_5865139,Zoustar (AUS),2972,Class 1,73,7,6,5,7,0.85,0.1,-48.48
sir_5800130,Lightning Spear (GB),328,Class 5,125,16,16,14,19,0.96,0.13,-33.36
sir_5800130,Lightning Spear (GB),328,Class 6,79,13,8,7,6,1.29,0.16,23.11
sir_5800130,Lightning Spear (GB),328,Class 4,75,7,5,9,7,0.89,0.09,-20.75
sir_5800130,Lightning Spear (GB),328,,34,2,2,5,3,0.64,0.06,-15.0
sir_5800130,Lightning Spear (GB),328,Class 2,8,1,0,0,0,1.76,0.12,-3.5
sir_5800130,Lightning Spear (GB),328,Class 3,6,1,0,1,0,2.43,0.17,7.0
sir_5800130,Lightning Spear (GB),328,Class 1,1,0,0,0,0,0.0,0.0,-1.0
sir_10504137,Expert Eye (GB),1389,Class 5,414,49,44,51,50,0.95,0.12,-25.13
sir_10504137,Expert Eye (GB),1389,Class 4,283,30,34,32,44,0.76,0.11,-83.86
sir_10504137,Expert Eye (GB),1389,,277,24,26,23,16,0.8,0.09,-109.83
sir_10504137,Expert Eye (GB),1389,Class 6,253,24,23,22,28,0.72,0.09,-105.22
sir_10504137,Expert Eye (GB),1389,Class 2,68,5,9,7,8,0.69,0.07,37.75
sir_10504137,Expert Eye (GB),1389,Class 3,60,4,7,7,10,0.55,0.07,-49.24
sir_10504137,Expert Eye (GB),1389,Class 1,34,4,2,0,4,1.59,0.12,8.5
sir_19359298,Kameko (USA),220,Class 5,83,8,8,9,5,0.92,0.1,-32.22
sir_19359298,Kameko (USA),220,Class 4,47,6,7,5,4,1.01,0.13,16.79
sir_19359298,Kameko (USA),220,Class 6,37,2,5,4,4,0.5,0.05,-4.75
sir_19359298,Kameko (USA),220,Class 2,22,2,1,1,6,0.65,0.09,-11.0
sir_19359298,Kameko (USA),220,,13,1,0,1,2,1.24,0.08,-8.95
sir_19359298,Kameko (USA),220,Class 1,12,2,3,2,2,1.1,0.17,-4.12
sir_19359298,Kameko (USA),220,Class 3,6,1,1,0,2,0.7,0.17,-4.67
sir_18619580,Pinatubo (IRE),166,Class 5,53,14,10,6,5,1.32,0.26,42.54
sir_18619580,Pinatubo (IRE),166,,44,7,4,6,6,0.84,0.16,-17.82
sir_18619580,Pinatubo (IRE),166,Class 4,36,4,5,5,3,0.71,0.11,-12.88
sir_18619580,Pinatubo (IRE),166,Class 2,13,3,1,1,2,1.97,0.23,17.0
sir_18619580,Pinatubo (IRE),166,Class 1,12,0,2,1,1,0.0,0.0,-12.0
sir_18619580,Pinatubo (IRE),166,Class 3,4,1,0,2,1,0.78,0.25,2.5
sir_18619580,Pinatubo (IRE),166,Class 6,4,1,1,0,0,1.64,0.25,1.5
sir_15030547,Persian King (IRE),115,,70,6,6,9,10,0.61,0.09,-51.77
sir_15030547,Persian King (IRE),115,Class 5,21,6,2,2,4,1.55,0.29,34.48
sir_15030547,Persian King (IRE),115,Class 4,16,2,1,5,4,0.63,0.12,3.33
sir_15030547,Persian King (IRE),115,Class 2,5,0,0,1,0,0.0,0.0,-5.0
sir_15030547,Persian King (IRE),115,Class 3,3,0,2,0,1,0.0,0.0,-3.0
sir_5876514,Night Of Thunder (IRE),3710,,965,142,126,100,113,0.98,0.15,47.38
sir_5876514,Night Of Thunder (IRE),3710,Class 5,815,143,100,117,88,1.0,0.18,-85.8
sir_5876514,Night Of Thunder (IRE),3710,Class 4,621,113,71,72,71,1.08,0.18,42.17
sir_5876514,Night Of Thunder (IRE),3710,Class 6,476,58,49,51,43,0.87,0.12,-132.64
sir_5876514,Night Of Thunder (IRE),3710,Class 2,310,41,44,40,21,0.9,0.13,-35.06
sir_5876514,Night Of Thunder (IRE),3710,Class 3,276,32,39,39,24,0.73,0.12,-66.03
sir_5876514,Night Of Thunder (IRE),3710,Class 1,247,31,32,33,33,0.84,0.13,-6.94
sir_5178992,Bated Breath (GB),6815,Class 5,1748,209,213,202,191,0.88,0.12,-301.69
sir_5178992,Bated Breath (GB),6815,,1693,177,143,160,176,0.92,0.1,-405.81
sir_5178992,Bated Breath (GB),6815,Class 6,1462,133,159,155,146,0.73,0.09,-447.57
sir_5178992,Bated Breath (GB),6815,Class 4,1021,132,106,118,124,0.97,0.13,-172.99
sir_5178992,Bated Breath (GB),6815,Class 3,433,35,45,58,47,0.61,0.08,-226.68
sir_5178992,Bated Breath (GB),6815,Class 2,308,33,27,31,25,0.92,0.11,104.92
sir_5178992,Bated Breath (GB),6815,Class 1,137,10,15,19,7,0.68,0.07,-41.37
sir_5178992,Bated Breath (GB),6815,Class 7,13,0,1,0,2,0.0,0.0,-13.0
sir_19035702,Earthlight (IRE),199,Class 5,63,5,7,6,6,0.64,0.08,-27.47
sir_19035702,Earthlight (IRE),199,,57,6,4,9,3,0.9,0.11,-25.5
sir_19035702,Earthlight (IRE),199,Class 4,31,4,7,4,2,0.69,0.13,-3.0
sir_19035702,Earthlight (IRE),199,Class 6,16,3,1,1,3,1.52,0.19,13.5
sir_19035702,Earthlight (IRE),199,Class 3,15,1,4,2,1,0.42,0.07,-6.0
sir_19035702,Earthlight (IRE),199,Class 2,9,1,2,1,0,0.96,0.11,0.5
sir_19035702,Earthlight (IRE),199,Class 1,8,0,1,1,1,0.0,0.0,-8.0
sir_4761330,Adlerflug (GER),786,,707,103,96,82,83,0.93,0.15,-24.27
sir_4761330,Adlerflug (GER),786,Class 5,23,2,1,3,3,0.94,0.09,-11.5
sir_4761330,Adlerflug (GER),786,Class 4,21,8,1,1,1,2.13,0.38,12.26
sir_4761330,Adlerflug (GER),786,Class 1,14,5,6,1,0,1.93,0.36,51.87
sir_4761330,Adlerflug (GER),786,Class 3,11,4,1,2,2,2.01,0.36,13.6
sir_4761330,Adlerflug (GER),786,Class 2,5,0,0,1,0,0.0,0.0,-5.0
sir_4761330,Adlerflug (GER),786,Class 6,4,0,1,0,1,0.0,0.0,-4.0
sir_4761330,Adlerflug (GER),786,Class 7,1,0,0,0,1,0.0,0.0,-1.0
sir_5601386,Battle Of Marengo (IRE),852,,502,30,31,43,43,0.74,0.06,-225.17
sir_5601386,Battle Of Marengo (IRE),852,Class 5,145,15,8,16,19,0.9,0.1,-86.97
sir_5601386,Battle Of Marengo (IRE),852,Class 4,124,14,14,17,8,0.92,0.11,14.18
sir_5601386,Battle Of Marengo (IRE),852,Class 6,45,7,3,3,3,1.09,0.16,-20.82
sir_5601386,Battle Of Marengo (IRE),852,Class 3,18,1,1,5,1,0.58,0.06,-11.5
sir_5601386,Battle Of Marengo (IRE),852,Class 2,13,0,0,2,1,0.0,0.0,-13.0
sir_5601386,Battle Of Marengo (IRE),852,Class 1,5,0,1,0,0,0.0,0.0,-5.0
sir_5237785,Reliable Man (GB),1662,,1035,91,102,75,101,0.86,0.09,-214.89
sir_5237785,Reliable Man (GB),1662,Class 4,203,20,16,26,26,0.79,0.1,-114.39
sir_5237785,Reliable Man (GB),1662,Class 3,177,14,19,12,13,0.7,0.08,-74.12
sir_5237785,Reliable Man (GB),1662,Class 5,108,10,17,9,9,0.84,0.09,-24.82
sir_5237785,Reliable Man (GB),1662,Class 6,73,9,13,9,7,0.91,0.12,-4.0
sir_5237785,Reliable Man (GB),1662,Class 2,49,5,4,4,1,1.09,0.1,35.65
sir_5237785,Reliable Man (GB),1662,Class 1,17,0,3,0,3,0.0,0.0,-17.0
sir_6124769,Awtaad (IRE),2217,,634,52,57,54,49,0.73,0.08,-319.58
sir_6124769,Awtaad (IRE),2217,Class 5,472,69,52,54,49,1.03,0.15,7.54
sir_6124769,Awtaad (IRE),2217,Class 6,422,49,41,39,41,0.89,0.12,-118.91
sir_6124769,Awtaad (IRE),2217,Class 4,361,45,45,37,46,0.87,0.12,-36.71
sir_6124769,Awtaad (IRE),2217,Class 2,138,14,6,15,16,0.98,0.1,-4.55
sir_6124769,Awtaad (IRE),2217,Class 3,129,19,21,11,9,1.09,0.15,-31.26
sir_6124769,Awtaad (IRE),2217,Class 1,61,9,8,5,9,1.17,0.15,20.71
sir_6319173,Zarak (FR),1029,,815,127,107,109,70,1.02,0.16,42.72
sir_6319173,Zarak (FR),1029,Class 4,78,15,13,11,8,1.06,0.19,125.31
sir_6319173,Zarak (FR),1029,Class 5,64,12,14,7,6,0.97,0.19,-9.65
sir_6319173,Zarak (FR),1029,Class 3,23,2,3,4,2,0.47,0.09,-14.7
sir_6319173,Zarak (FR),1029,Class 2,21,3,2,0,3,0.93,0.14,-10.25
sir_6319173,Zarak (FR),1029,Class 1,20,1,3,2,5,0.48,0.05,-17.9
sir_6319173,Zarak (FR),1029,Class 6,8,4,1,1,0,1.92,0.5,3.72
sir_4624179,Mahler (GB),7616,,3218,253,258,293,260,0.8,0.08,-1408.77
sir_4624179,Mahler (GB),7616,Class 4,1982,264,242,239,224,0.92,0.13,-534.56
sir_4624179,Mahler (GB),7616,Class 5,1302,164,146,158,117,0.96,0.13,-161.16
sir_4624179,Mahler (GB),7616,Class 3,548,97,74,67,62,1.02,0.18,3.61
sir_4624179,Mahler (GB),7616,Class 2,253,25,26,32,26,0.77,0.1,-80.51
sir_4624179,Mahler (GB),7616,Class 1,229,24,27,28,15,0.91,0.1,-74.67
sir_4624179,Mahler (GB),7616,Class 6,84,9,9,8,12,0.66,0.11,-46.57
sir_4690833,New Approach (IRE),7227,,2460,277,234,256,238,0.86,0.11,-563.77
sir_4690833,New Approach (IRE),7227,Class 5,1651,245,213,207,164,0.87,0.15,-498.18
sir_4690833,New Approach (IRE),7227,Class 4,1165,153,144,162,118,0.82,0.13,-348.84
sir_4690833,New Approach (IRE),7227,Class 6,759,74,85,64,60,0.8,0.1,-134.61
sir_4690833,New Approach (IRE),7227,Class 3,463,67,58,65,57,0.87,0.14,-120.48
sir_4690833,New Approach (IRE),7227,Class 2,415,48,44,43,31,0.83,0.12,-123.92
sir_4690833,New Approach (IRE),7227,Class 1,307,40,34,46,27,0.9,0.13,-45.21
sir_4690833,New Approach (IRE),7227,Class 7,7,0,0,1,0,0.0,0.0,-7.0
sir_4168122,Balko (FR),2356,,1323,157,165,161,147,0.86,0.12,-209.08
sir_4168122,Balko (FR),2356,Class 4,409,63,62,72,45,0.88,0.15,-89.06
sir_4168122,Balko (FR),2356,Class 3,213,32,32,36,28,0.82,0.15,-29.99
sir_4168122,Balko (FR),2356,Class 5,201,38,22,28,23,1.23,0.19,16.93
sir_4168122,Balko (FR),2356,Class 1,100,9,6,10,9,0.78,0.09,-40.37
sir_4168122,Balko (FR),2356,Class 2,95,8,10,9,10,0.61,0.08,-37.58
sir_4168122,Balko (FR),2356,Class 6,15,2,0,3,0,1.24,0.13,-2.12
sir_6091939,Storm The Stars (USA),118,,82,11,6,6,5,1.25,0.13,13.17
sir_6091939,Storm The Stars (USA),118,Class 5,19,4,3,6,0,0.94,0.21,34.35
sir_6091939,Storm The Stars (USA),118,Class 4,6,2,0,1,1,1.39,0.33,-1.05
sir_6091939,Storm The Stars (USA),118,Class 1,4,0,0,1,0,0.0,0.0,-4.0
sir_6091939,Storm The Stars (USA),118,Class 6,4,0,2,0,0,0.0,0.0,-4.0
sir_6091939,Storm The Stars (USA),118,Class 3,2,0,0,0,0,0.0,0.0,-2.0
sir_6091939,Storm The Stars (USA),118,Class 2,1,0,0,0,0,0.0,0.0,-1.0
sir_4966836,Jukebox Jury (IRE),1525,,796,98,74,69,81,1.0,0.12,-54.82
sir_4966836,Jukebox Jury (IRE),1525,Class 4,280,40,33,38,38,0.95,0.14,43.18
sir_4966836,Jukebox Jury (IRE),1525,Class 5,191,31,17,31,24,1.05,0.16,-29.63
sir_4966836,Jukebox Jury (IRE),1525,Class 3,99,12,13,14,9,0.84,0.12,-33.71
sir_4966836,Jukebox Jury (IRE),1525,Class 2,74,7,7,6,8,0.72,0.09,-41.15
sir_4966836,Jukebox Jury (IRE),1525,Class 1,60,6,7,6,6,0.88,0.1,-23.7
sir_4966836,Jukebox Jury (IRE),1525,Class 6,25,3,3,2,3,0.88,0.12,-1.0
sir_5344241,Masked Marvel (GB),1018,,635,76,68,75,68,0.84,0.12,-136.03
sir_5344241,Masked Marvel (GB),1018,Class 4,169,38,18,25,20,1.15,0.22,11.84
sir_5344241,Masked Marvel (GB),1018,Class 3,71,15,15,10,6,0.77,0.21,-35.57
sir_5344241,Masked Marvel (GB),1018,Class 5,63,8,11,4,3,0.91,0.13,-2.49
sir_5344241,Masked Marvel (GB),1018,Class 2,40,10,3,2,5,1.51,0.25,19.12
sir_5344241,Masked Marvel (GB),1018,Class 1,40,6,5,7,3,0.96,0.15,3.87
sir_5720169,Leading Light (IRE),1794,,930,57,68,70,75,0.79,0.06,-390.21
sir_5720169,Leading Light (IRE),1794,Class 4,377,36,47,44,52,0.74,0.1,-202.52
sir_5720169,Leading Light (IRE),1794,Class 5,368,34,43,34,36,0.87,0.09,-123.47
sir_5720169,Leading Light (IRE),1794,Class 3,63,6,15,10,5,0.52,0.1,-48.29
sir_5720169,Leading Light (IRE),1794,Class 2,34,5,4,4,2,0.98,0.15,-7.79
sir_5720169,Leading Light (IRE),1794,Class 1,17,2,4,2,1,0.78,0.12,-3.5
sir_5720169,Leading Light (IRE),1794,Class 6,5,0,0,0,1,0.0,0.0,-5.0
sir_5412708,Imperial Monarch (IRE),1360,,665,33,42,39,68,0.61,0.05,-367.42
sir_5412708,Imperial Monarch (IRE),1360,Class 4,311,40,29,31,41,1.02,0.13,-125.26
sir_5412708,Imperial Monarch (IRE),1360,Class 5,287,31,27,32,33,0.82,0.11,-134.03
sir_5412708,Imperial Monarch (IRE),1360,Class 3,61,3,7,11,10,0.38,0.05,-47.12
sir_5412708,Imperial Monarch (IRE),1360,Class 2,21,1,2,2,2,0.45,0.05,-16.5
sir_5412708,Imperial Monarch (IRE),1360,Class 1,15,2,2,1,0,0.86,0.13,-11.08
sir_5957350,Ol' Man River (IRE),307,,145,5,10,9,15,0.58,0.03,-102.77
sir_5957350,Ol' Man River (IRE),307,Class 5,74,7,10,4,10,0.66,0.09,-19.68
sir_5957350,Ol' Man River (IRE),307,Class 4,67,7,6,3,5,1.12,0.1,-15.71
sir_5957350,Ol' Man River (IRE),307,Class 3,10,2,1,0,0,3.03,0.2,1.75
sir_5957350,Ol' Man River (IRE),307,Class 1,9,0,0,1,2,0.0,0.0,-9.0
sir_5957350,Ol' Man River (IRE),307,Class 2,2,1,0,0,0,2.37,0.5,3.0
sir_18001074,Nirvana Du Berlais (FR),38,,29,5,2,2,3,1.25,0.17,20.7
sir_18001074,Nirvana Du Berlais (FR),38,Class 4,7,1,0,1,1,0.79,0.14,-5.09
sir_18001074,Nirvana Du Berlais (FR),38,Class 1,1,0,1,0,0,0.0,0.0,-1.0
sir_18001074,Nirvana Du Berlais (FR),38,Class 3,1,1,0,0,0,1.8,1.0,0.8
sir_3852772,Black Sam Bellamy (IRE),4461,Class 4,1575,161,171,184,186,0.79,0.1,-661.25
sir_3852772,Black Sam Bellamy (IRE),4461,Class 5,1130,92,116,128,118,0.76,0.08,-271.47
sir_3852772,Black Sam Bellamy (IRE),4461,,778,90,72,80,75,0.92,0.12,-132.13
sir_3852772,Black Sam Bellamy (IRE),4461,Class 3,389,50,59,56,54,0.79,0.13,-170.93
sir_3852772,Black Sam Bellamy (IRE),4461,Class 6,230,27,29,26,20,0.86,0.12,-54.38
sir_3852772,Black Sam Bellamy (IRE),4461,Class 1,191,17,15,21,20,0.83,0.09,-54.55
sir_3852772,Black Sam Bellamy (IRE),4461,Class 2,168,26,16,24,13,1.13,0.15,24.28
sir_4495463,Jeremy (USA),6643,,3284,352,322,279,276,0.94,0.11,-836.81
sir_4495463,Jeremy (USA),6643,Class 4,978,127,124,105,115,0.87,0.13,-217.45
sir_4495463,Jeremy (USA),6643,Class 5,968,85,99,102,109,0.7,0.09,-409.97
sir_4495463,Jeremy (USA),6643,Class 6,526,54,62,55,62,0.82,0.1,-134.8
sir_4495463,Jeremy (USA),6643,Class 3,402,63,55,60,40,1.01,0.16,-31.17
sir_4495463,Jeremy (USA),6643,Class 2,243,29,17,22,14,1.02,0.12,-36.15
sir_4495463,Jeremy (USA),6643,Class 1,223,34,21,26,22,1.1,0.15,59.74
sir_4495463,Jeremy (USA),6643,Class 7,19,2,0,4,3,0.9,0.11,-2.5
sir_4097646,Apsis (GB),757,,577,50,52,58,42,0.95,0.09,75.08
sir_4097646,Apsis (GB),757,Class 4,56,3,8,8,6,0.42,0.05,-24.83
sir_4097646,Apsis (GB),757,Class 3,38,5,6,10,5,0.9,0.13,2.75
sir_4097646,Apsis (GB),757,Class 5,29,2,0,3,5,0.49,0.07,9.0
sir_4097646,Apsis (GB),757,Class 1,23,1,2,6,3,0.45,0.04,-13.5
sir_4097646,Apsis (GB),757,Class 2,21,2,3,4,2,0.59,0.1,-2.75
sir_4097646,Apsis (GB),757,Class 6,13,0,2,0,2,0.0,0.0,-13.0
