damsire_id,damsire
dsi_3358341,Agnes World
dsi_5135942,Arcano
dsi_3322228,Grand Slam
dsi_5677651,Olympic Glory
dsi_3592449,Primo Valentino
dsi_4576999,Invasor
dsi_4009054,Grand Reward
dsi_4761330,Adlerflug
dsi_3739757,Mizzen Mast
dsi_5605250,Declaration Of War
dsi_2125851,Forzando
dsi_4092207,Birdstone
dsi_491743,Lion Cavern
dsi_7032655,Mehmas
dsi_4928553,Lord Shanakill
dsi_4163390,Kitten's Joy
dsi_4147381,Starcraft
dsi_5133128,Siyouni
dsi_4954985,Silver Frost
dsi_3862642,Act One
dsi_3310986,Gold Away
dsi_4572092,Jazil
dsi_2109387,Lear Fan
dsi_3266487,Belong To Me
dsi_4997909,Urban Poet
dsi_33054,Moscow Society
dsi_741195,Samraan
dsi_2136918,Gildoran
dsi_69251,Jamesmead
dsi_4086887,Yeats
dsi_441525,Mister Mat
dsi_4482254,Dylan Thomas
dsi_3543505,Maresca Sorrento
dsi_578746,Rochesson
dsi_4638186,Scat Daddy
dsi_21911393,Rock City
dsi_750722,Ragmar
dsi_585060,Lake Coniston
dsi_3315102,Arnaqueur
dsi_3143196,Zero Problemo
dsi_4703412,Myboycharlie
dsi_4442879,Flower Alley
dsi_4220216,Windsor Knot
dsi_3156755,Smart Strike
dsi_5164180,Elusive Pimpernel
dsi_3752329,Delaware Township
dsi_4514419,Kendargent
dsi_5725916,Anodin
dsi_3810576,Redback
dsi_2112061,Nureyev
dsi_531426,Zafonic
dsi_3565226,Redoute's Choice
dsi_4079782,Diamond Green
dsi_4619986,Haatef
dsi_565901,Sea Hero
dsi_4061456,Three Valleys
dsi_613501,Key Of Luck
dsi_357196,Shambo
dsi_2126229,Woodman
dsi_388129,Roi De Rome
dsi_3591266,Fath
dsi_2131997,Un Desperado
dsi_4085123,American Post
dsi_4509400,Stormy River
dsi_590296,Distant View
dsi_600880,Mister Baileys
dsi_4627504,Spirit One
dsi_3499902,Orpen
dsi_5455471,Helmet
dsi_4782463,Sageburg
dsi_4786334,Daaher
dsi_600243,Averti
dsi_5377211,Al Kazeem
dsi_3957527,Norse Dancer
dsi_3974761,Sky Mesa
dsi_5927481,Sea The Moon
dsi_3591616,Observatory
dsi_3136224,Danetime
dsi_5180469,Lookin At Lucky
dsi_589141,Bartok I
dsi_4992813,Naaqoos
dsi_4552268,Strategic Prince
dsi_4606091,Major Cadeaux
dsi_3989475,Joe Bear
dsi_4759531,Captain Gerrard
dsi_3730776,Hussonet
dsi_5636862,Alhebayeb
dsi_301448,Nashwan
dsi_746151,Maria's Mon
dsi_5306966,Approve
dsi_3296636,Second Empire
dsi_4749731,Dansant
dsi_753039,Unbridled's Song
dsi_2998898,Passing Glance
dsi_5006204,Munnings
dsi_690032,Mr Greeley
dsi_4864650,Pulling Punches
dsi_4087804,Chineur
dsi_5389447,Pour Moi
dsi_3143665,Brave Act
dsi_4123644,Caradak
dsi_3696896,War Chant
dsi_3841789,Denham Red
dsi_433608,Topanoora
dsi_2136309,King's Ride
dsi_3301837,Fruits Of Love
dsi_3702986,Kallisto
dsi_238889,Hours After
dsi_5270552,Pirateer
dsi_3127201,Lavirco
dsi_2115799,Sicyos
dsi_87220,El Conquistador
dsi_3707347,Reel Buddy
dsi_685027,Double Eclipse
dsi_120183,Beau Sher
dsi_344834,Norwich
dsi_4871055,Fame And Glory
dsi_3298582,Blueprint
dsi_442792,Desert Sun
dsi_3979927,Whywhywhy
dsi_3529575,Banyumanik
dsi_3333918,Dream Well
dsi_3123435,Superior Premium
dsi_2129680,Trempolino
dsi_3546683,Spendent
dsi_445046,Perpendicular
dsi_3269210,Desert Prince
dsi_4090401,Bachelor Duke
dsi_727524,Tagula
dsi_458591,Toulon
dsi_2136281,Chamberlin
dsi_2108764,Kenmare
dsi_3252116,Art Francais
dsi_49175,Broken Hearted
dsi_3289671,Xaar
dsi_611079,Overbury
dsi_3677114,Baryshnikov
dsi_467642,Assessor
dsi_6208167,Gutaifan
dsi_5818484,War Command
dsi_4494735,Sixties Icon
dsi_3948378,Catcher In The Rye
dsi_3189921,Encosta De Lago
dsi_3734465,Storming Home
dsi_5874547,No Nay Never
dsi_3305358,Tertullian
dsi_3931207,Spartacus
dsi_4045286,Milk It Mick
dsi_3932551,Khalkevi
dsi_432509,Dear Doctor
dsi_4757515,Axxos
dsi_4598426,Barastraight
dsi_2107112,Gunner B
dsi_16415,Most Welcome
dsi_588910,Badolato
dsi_314846,Aahsaylad
dsi_475321,Murmure
dsi_3188248,Stowaway
dsi_3502282,Beat All
dsi_3733779,Dilshaan
dsi_3638705,Marienbard
dsi_3872743,Officer
dsi_3686655,Imperial Dancer
dsi_2104375,Diesis
dsi_5147233,Zanzibari
dsi_501326,Brier Creek
dsi_3502310,Enrique
dsi_3591581,Monashee Mountain
dsi_493430,Northern Crystal
dsi_3961167,Epalo
dsi_467880,Great Palm
dsi_406175,Shalford
dsi_3698408,Bonnet Rouge
dsi_4639740,Lucarno
dsi_5022934,Pioneerof The Nile
dsi_3955546,Chevalier
dsi_4798836,Tale Of Ekati
dsi_4572442,Sharp Humor
dsi_572670,Nicolotte
dsi_2133621,Komaite
dsi_4186861,Iceman
dsi_486955,Muhtarram
dsi_2125760,Nikos
dsi_286573,Vestris Abu
dsi_4485327,September Storm
dsi_3970715,Whitmore's Conn
dsi_4030824,My Risk
dsi_4348540,Daramsar
dsi_3728466,Ishiguru
dsi_4255181,Rockport Harbor
dsi_3987102,Soldier Hollow
dsi_5150754,Dick Turpin
dsi_5714912,Moohaajim
dsi_4030628,Coroner
dsi_4127767,Desideratum
dsi_617176,Germany
dsi_2934036,Kirkwall
dsi_3294928,Diableneyev
dsi_3207309,Craigsteel
dsi_39480,Kahyasi
dsi_4464495,Ivan Denisovich
dsi_335293,Muroto
dsi_372505,Rock Hopper
dsi_510909,Emperor Jones
dsi_3336858,Limnos
dsi_3690442,Saint Preuil
dsi_4905173,Montmartre
dsi_465227,Subotica
dsi_4957421,Vocalised
dsi_3921855,Charming Groom
dsi_6066578,Twilight Son
dsi_4551799,Arabian Gleam
dsi_3728403,Freud
dsi_62825,Statoblest
dsi_4223408,Doctor Dino
dsi_588203,Le Balafre
dsi_4804191,Falco
dsi_2114602,Rose Laurel
dsi_4498865,Rebelsway
dsi_2134286,Tragic Role
dsi_1141,Rakaposhi King
dsi_634347,Vettori
dsi_4538492,Ask
dsi_3635513,Kutub
dsi_749000,Honour And Glory
dsi_3263946,Docksider
dsi_4476654,Hat Trick
dsi_3918579,Statue Of Liberty
dsi_4491872,Multiplex
dsi_3797024,Lonhro
dsi_4108454,Eurosilver
dsi_734314,Intidab
dsi_3957996,Van Nistelrooy
dsi_3502401,Stravinsky
dsi_5603829,Ocovango
dsi_4595990,Vendangeur
dsi_2126138,Slip Anchor
dsi_4249532,Golden Tornado
dsi_342503,Bateau Rouge
dsi_4133563,Dynasty
dsi_5413016,Mukhadram
dsi_3723811,Panis
dsi_3580101,Fasliyev
dsi_3745714,Include
dsi_2133194,Silver Deputy
dsi_3219048,Pulpit
dsi_675829,Miesque's Son
dsi_3498250,Shahanndeh
dsi_3857007,Shaanmer
dsi_571802,Close Conflict
dsi_383761,Houmayoun
dsi_2136687,Rashar
dsi_738437,Lord Of Men
dsi_698936,Busy Flight
dsi_3833452,Meshaheer
dsi_657622,Freedom Cry
dsi_764281,Loup Sauvage
dsi_512106,Raintrap
dsi_2126873,Leading Counsel
dsi_693420,Alhaatmi
dsi_439271,Tel Quel
dsi_2135336,Jolly Jake
dsi_3731161,Mr Combustible
dsi_3826522,Kouroun
dsi_4238801,Silver Cross
dsi_3207225,Central Park
dsi_3956701,Indian Haven
dsi_2129659,Groom Dancer
dsi_765030,Vertical Speed
dsi_4268691,Peer Gynt
dsi_2124451,Garde Royale
dsi_4839422,Kap Rock
dsi_4123686,Court Cave
dsi_585718,Turtle Island
dsi_4053448,Misternando
dsi_118930,Minster Son
dsi_3756998,Sagacity
dsi_3111157,Sevres Rose
dsi_3647602,Tiger Groom
dsi_2129428,Saint Estephe
dsi_3207659,Gulland
dsi_4494112,Carlotamix
dsi_3414446,Indian Lodge
dsi_344176,Be My Chief
dsi_531930,Homme De Loi
dsi_176393,Petoski
dsi_3584833,Silvano
dsi_3878721,Air Eminem
dsi_755790,Truth Or Dare I
dsi_4624284,Soldier Of Fortune
dsi_732557,Gold And Steel
